delivery_id,prediction
194096,3360.6511
236895,2942.3818
190868,3190.153
183076,3137.1367
186200,2583.9248
86219,3388.8618
35439,3320.2607
123927,2320.759
50475,1701.7064
221414,2206.49
119153,2730.3323
248838,2921.767
125516,2673.7988
240286,2276.6692
33116,2406.7666
237801,2511.5537
102948,2777.9275
26470,3014.4045
210063,2822.9128
76850,2226.363
144841,2662.651
195839,2767.3557
52177,2555.475
64485,2817.25
150042,3357.259
41052,2482.4792
193495,2568.372
165249,2274.145
236833,2500.7993
214592,2232.4133
75705,3344.3809
51283,2161.256
169532,2811.603
182602,4138.4585
217450,3928.8862
108883,2790.5366
234476,4034.8823
127581,1853.2224
49108,3056.955
184983,3622.5745
120400,2155.141
157120,1887.918
110989,2307.5127
81772,2712.679
84725,1804.2065
14678,2901.3157
250568,3431.9785
23428,2284.7285
211741,1922.5421
28721,2170.4202
13046,4459.4595
120976,2438.1243
235804,1822.8121
237211,2073.8943
101398,1884.1207
117193,3278.2197
215135,1980.4867
67787,2143.8442
187307,1905.9525
1154,2554.3762
98407,2419.5889
6183,2547.2314
18915,2751.3672
224350,2214.309
114015,2844.9944
9734,2522.0837
19998,2852.5857
42148,2985.1973
211635,2824.7346
115361,2340.8528
163220,2556.2197
157797,2639.8047
13337,3009.8352
6507,1880.9742
42062,3097.5088
192674,2905.6355
83456,2866.407
226554,1736.11
45602,3035.8333
228776,2497.9436
127211,2006.0098
139323,1854.9755
112110,2780.2344
5486,3072.5847
105831,2361.6243
86840,2419.3223
51034,2371.22
225545,2558.0461
169104,2854.0347
41676,2805.7412
108010,2747.5264
238500,3152.0696
103318,2518.2751
30810,2114.793
235600,2453.3672
232838,4682.562
43717,3476.038
189723,2890.6458
145711,2336.3774
135693,2488.2927
198349,3081.0784
228537,3388.7568
195586,2565.6204
246298,1603.1625
65385,3133.898
169707,2424.0107
157796,2705.8657
107044,3504.8738
53434,2648.492
223440,2600.3691
121112,2567.2285
145842,2903.12
219061,4047.0928
102424,3416.3496
102883,2116.2397
169126,2700.797
107458,3262.0427
11700,3395.0105
150195,3081.1638
144621,2485.2793
23370,2403.9358
65069,2371.245
161216,2729.0212
205787,2208.2556
67034,3399.7922
27132,2363.323
159340,2583.7942
23909,2570.538
103640,2809.5862
215699,2779.519
38743,2211.1155
176092,3513.0537
128120,2529.9941
156578,2197.3652
209009,3695.3325
187370,2660.9534
75323,3413.9043
52973,2351.5386
29650,3443.2898
179356,1577.372
178608,2702.0972
207917,2202.976
188547,2945.114
166420,3216.9714
185832,3064.9937
210556,2381.0374
40504,2192.6362
133183,2591.1687
137330,2325.9802
19965,2899.4343
250804,3028.751
138734,3961.6348
194668,2066.0972
155801,3712.0378
107580,1968.9772
154422,2415.9543
183822,2281.044
163290,3016.2065
217400,3525.8906
120970,2373.5208
65203,2715.0842
137196,3460.406
219945,2556.5876
55899,2829.5
150837,2993.5938
108775,2894.1812
59364,2529.4224
17118,4286.0396
236470,3755.205
189188,3280.939
140565,2409.7764
101699,2412.735
219240,3151.1929
140545,2691.3794
128509,4269.7876
245158,3416.4873
78399,2260.4988
123755,2735.2146
129145,2979.0134
159810,2359.6353
136485,3292.4727
53416,2856.0745
170020,2029.9988
179958,2478.2578
108585,2525.978
82416,2732.808
200750,2353.6948
248706,2052.1997
31344,2244.1807
176655,2976.201
82150,2398.458
179169,2382.2925
197725,2741.2312
214504,2992.0537
193705,2116.8367
121110,1947.1902
142674,1828.0012
211752,2109.8284
61634,2480.8762
69864,2575.9092
56565,2804.2302
110424,2344.101
178376,2912.662
87462,2887.603
23629,3035.3767
58621,2753.189
209790,2034.5801
241239,3372.9917
189859,3185.5442
48243,2803.501
9561,3455.9634
116257,1853.0419
19783,3046.154
232532,3886.162
103779,2545.9326
83907,2492.364
94611,2441.769
202607,2274.3665
162638,2678.9204
86212,3596.0034
98445,2803.5757
217780,2169.4006
42721,2192.31
91240,2787.7788
100348,2959.0305
241228,3318.6711
136678,3729.598
27892,3029.3118
208930,2975.463
12431,1975.673
96382,2866.491
185251,2697.7295
77349,2119.013
120291,3357.7014
117404,2434.6162
93740,2926.8843
141359,2059.8472
151045,1992.8315
46182,3150.4458
135758,2426.5522
220438,3314.8633
59811,3242.489
241229,2113.749
122103,2621.0496
59124,2751.8247
221087,2133.713
237414,3088.7014
224423,2848.648
24633,2534.599
172377,2095.2202
241250,1550.6208
151448,2743.044
176434,2780.2622
193411,2974.7837
127027,2669.4463
48990,2158.2903
85557,2835.7148
53862,2526.5112
35862,1860.8674
188384,2563.755
191851,2049.8638
147745,2372.068
12860,2143.2178
157442,3000.826
230223,4280.571
21927,5123.1577
103540,3333.4558
193208,2038.4312
239922,2362.1245
143801,2896.4355
207489,3203.967
6473,2471.9731
136591,2615.5273
135971,2976.4495
222777,2655.9458
198316,2280.6814
189341,2228.3457
152892,2709.6572
250785,2761.699
240055,2330.4126
92408,2234.3677
94118,2110.4185
134074,1851.025
25299,2595.1016
53356,2183.597
250444,2719.1738
195890,2232.665
188668,1987.6196
212598,2480.4006
102668,2227.3647
189764,2658.4297
244553,2324.394
204446,2488.992
111800,2259.663
160579,1850.9048
194443,2083.3765
59646,1950.2406
66319,3126.6118
139928,1676.1965
248842,2505.596
211824,2959.7156
27482,2544.5586
171183,1983.5443
103892,2886.0752
222299,2545.9973
244010,4081.3152
136916,2470.727
55833,3438.9229
8758,2175.9534
158618,2249.1572
136519,2683.645
171698,3376.5195
240789,3185.2732
157201,2457.868
152688,2153.5654
137620,2513.5842
197260,2172.911
124128,2218.1165
140202,1980.4138
118753,2790.2551
181270,1947.1311
167801,1991.3524
182382,2525.984
235342,2752.2102
152904,2128.042
35272,2869.3372
206932,2581.9485
16819,1788.9692
194357,2301.7305
94719,2005.6871
4929,2911.8674
64916,1907.35
236931,2972.6853
54168,1968.4393
106837,2386.2966
127746,2693.3604
21005,3646.0627
188234,4338.73
82056,3666.8484
53024,3307.6775
205370,3567.4326
168149,4451.658
161822,2066.7402
143452,2191.1948
137104,3133.7148
212186,3079.7903
238432,1838.2325
20070,2456.945
177731,3397.1758
70438,3381.487
203889,2424.6548
224579,2998.4817
101219,2233.194
32270,2475.3582
87848,2513.0994
19441,2354.982
75916,2697.2812
18620,2060.1675
184259,2059.4543
8303,2992.9949
214187,4229.357
246158,4120.0786
177177,3815.5686
218619,3610.709
53379,1927.9504
7886,2744.9019
121150,2210.2603
102023,2219.9656
118219,2531.0757
72829,2191.1572
247531,2169.984
96588,2827.644
39375,3040.6746
52216,3421.084
168618,2525.7078
39706,2481.1023
164276,2802.7664
53259,3276.6824
217804,3087.1384
89410,2883.642
158044,3154.2888
56055,2462.063
41749,2505.2766
105025,2577.2725
29873,2928.3354
34762,2837.6519
118310,2091.3865
5501,2509.4312
55113,2653.316
135783,2548.654
214894,2425.668
205745,3037.306
71193,3430.3142
2293,2612.3967
136901,2716.7593
207828,2861.1028
228620,3503.134
145958,3597.673
97051,2890.3594
105858,2180.4019
85860,1971.7354
136380,2296.6475
9374,2567.0212
50007,3651.5066
48288,3422.9055
119024,3019.6016
9950,2666.1946
117223,2410.8477
211792,2372.873
190021,2266.1243
56638,4323.1836
170417,2415.1772
24309,2887.1052
139891,2474.1218
51252,2276.4402
154770,2858.7686
182617,1788.917
61894,4206.8716
161716,2096.1355
139177,2352.5776
40774,2575.9622
237575,2032.5745
152967,1885.0732
100142,3297.549
176333,2925.809
10534,2919.9727
143332,2522.4873
122453,2948.7666
97867,2696.4006
123259,2446.649
54060,3771.9277
250937,2625.8958
102918,2793.3118
131281,2736.6406
197896,3590.1665
233993,2242.6008
187108,2457.1921
153760,3143.488
199786,3703.8162
65384,2743.5586
239205,2632.653
163246,3456.533
225615,3124.447
216414,2667.447
121876,2613.4282
75206,2800.7646
44419,3571.7659
219929,2504.1401
220161,2442.95
223443,2296.6658
76801,2367.2046
7034,2649.4128
138070,2542.3093
51255,3882.6067
15219,4285.4214
42670,3666.154
41544,4159.125
151277,4422.7056
167100,3137.229
14738,2308.5974
21520,2810.1375
106737,2527.8452
183776,3024.0496
177760,2097.9155
28012,2866.0884
212135,3335.719
232032,3028.0608
162855,2200.6406
245760,2282.943
161778,3273.0168
115087,3402.748
2007,2734.5789
211677,2779.3123
228146,4441.8965
207990,2595.0012
44137,2156.285
143519,3020.723
87369,2128.9731
248593,3582.4163
77865,3167.5278
206253,2195.746
180202,2137.4578
118936,1681.0337
132441,1845.1125
99599,1923.1805
99999,2474.529
36550,2155.3616
212923,2052.839
51958,2962.5095
190945,2325.47
180671,3070.5022
126786,3227.0564
173967,3170.3835
154879,2762.527
108667,3145.4395
51072,2453.1912
65398,3055.1362
183992,3456.9304
127029,3018.363
189356,4326.6997
215318,3385.7764
173908,2289.5986
230228,2799.6448
74875,2801.4897
223702,3388.946
182988,2717.3428
220191,2490.2998
165169,2838.5183
169529,4424.0786
112225,3075.5803
248855,2535.7087
154581,1928.5446
213300,2680.5134
152425,1734.9426
28197,2936.4062
83074,2305.651
18466,2645.1438
99700,1997.585
236174,2345.403
147749,2393.9775
119641,2629.8564
192443,2519.8184
204436,2877.2024
218918,3025.8618
134852,3461.8975
205741,2614.8738
13610,2664.6348
6456,2554.2815
35888,2544.5479
77056,2444.969
159842,2353.2456
149249,1717.1407
189524,3254.6743
220658,1615.8049
101243,2247.6902
130162,2753.706
122821,2829.2097
114279,2439.6396
68986,2767.2302
144978,2862.6233
64031,2460.6494
113474,3011.0688
225145,2421.5618
68475,2842.1555
174680,2274.7737
14093,3942.2715
199654,3558.298
44575,3141.5686
239200,3688.0361
93918,2213.3455
232451,3735.4492
154671,2393.3247
35632,3179.7844
163735,4027.6816
234762,2658.305
156132,3238.007
106113,2081.383
11761,2121.4624
204183,1954.865
65858,2169.7795
133585,2157.1946
217652,2187.1665
80321,2086.9006
139617,2952.5513
129695,2747.0193
226271,2559.4226
63624,2723.1465
157444,3602.43
105657,2229.422
218500,2077.0063
24396,2278.4849
9548,3029.633
144691,2211.261
67854,3399.7114
110263,3255.4556
180819,3076.6316
109240,2416.8906
194286,2896.5342
201735,3033.82
157033,2140.763
4924,2440.0942
184866,2505.4575
15596,2462.224
225668,2847.5212
223914,2624.218
39178,3089.2979
62685,3345.388
79627,4012.6196
131191,2644.4854
145298,2933.701
240945,2423.6824
226427,3081.0703
165390,2886.276
208801,3170.0134
15032,2455.173
175927,2722.7615
234816,3290.3047
113508,2463.9917
56831,2221.9407
237318,3837.5864
227905,3552.4663
57230,3513.2192
147182,2326.4263
28036,2919.3342
13206,3723.2302
211091,3391.3887
88159,3050.481
223430,3415.9468
224528,3405.0674
248478,2722.793
159281,1986.3704
36305,3423.2068
142871,3373.4763
229777,2922.0886
107895,2119.8164
144172,2024.5503
187649,2456.0447
131666,2099.526
241503,2253.1653
249517,3309.4438
12495,2751.9922
67797,2031.7463
181781,1713.2505
55440,1860.1965
131029,2483.712
83563,2583.6692
50852,3342.1975
91538,2020.9125
22899,4000.0825
50705,2933.888
223480,3914.8022
